analysis_room_type,analysis_class_name,group_key,method,n_objects
__all__,bed,__all____bed,3dfront,7290
__all__,bed,__all____bed,cube,1085
__all__,bed,__all____bed,infinigen,450
__all__,bed,__all____bed,m3dlayout,18
__all__,bed,__all____bed,ollama_llm,235
__all__,bed,__all____bed,random,60
__all__,bed,__all____bed,relaxed,91
__all__,bed,__all____bed,retrieval,168
__all__,cabinet,__all____cabinet,3dfront,3868
__all__,cabinet,__all____cabinet,cube,1151
__all__,cabinet,__all____cabinet,diffuscene,674
__all__,cabinet,__all____cabinet,infinigen,3950
__all__,cabinet,__all____cabinet,ollama_llm,76
__all__,cabinet,__all____cabinet,random,22
__all__,cabinet,__all____cabinet,relaxed,174
__all__,cabinet,__all____cabinet,retrieval,756
__all__,chair,__all____chair,3dfront,13461
__all__,chair,__all____chair,cube,480
__all__,chair,__all____chair,diffuscene,46
__all__,chair,__all____chair,infinigen,109
__all__,chair,__all____chair,ollama_llm,17
__all__,chair,__all____chair,random,9
__all__,chair,__all____chair,relaxed,333
__all__,chair,__all____chair,retrieval,504
__all__,decor,__all____decor,3dfront,970
__all__,decor,__all____decor,cube,204
__all__,decor,__all____decor,infinigen,2262
__all__,decor,__all____decor,m3dlayout,6
__all__,decor,__all____decor,ollama_llm,49
__all__,decor,__all____decor,relaxed,92
__all__,decor,__all____decor,retrieval,189
__all__,double_bed,__all____double_bed,diffuscene,432
__all__,double_bed,__all____double_bed,retrieval,168
__all__,lamp,__all____lamp,cube,1290
__all__,lamp,__all____lamp,diffuscene,611
__all__,lamp,__all____lamp,infinigen,881
__all__,lamp,__all____lamp,m3dlayout,6
__all__,lamp,__all____lamp,ollama_llm,130
__all__,lamp,__all____lamp,random,32
__all__,lamp,__all____lamp,relaxed,397
__all__,lamp,__all____lamp,retrieval,840
__all__,nightstand,__all____nightstand,3dfront,11411
__all__,nightstand,__all____nightstand,cube,2007
__all__,nightstand,__all____nightstand,diffuscene,1100
__all__,nightstand,__all____nightstand,infinigen,18
__all__,nightstand,__all____nightstand,m3dlayout,12
__all__,nightstand,__all____nightstand,ollama_llm,440
__all__,nightstand,__all____nightstand,random,53
__all__,nightstand,__all____nightstand,relaxed,134
__all__,nightstand,__all____nightstand,retrieval,672
__all__,sofa,__all____sofa,3dfront,3104
__all__,sofa,__all____sofa,cube,56
__all__,sofa,__all____sofa,infinigen,94
__all__,sofa,__all____sofa,ollama_llm,2
__all__,sofa,__all____sofa,relaxed,54
__all__,sofa,__all____sofa,retrieval,252
__all__,table,__all____table,3dfront,6948
__all__,table,__all____table,cube,1355
__all__,table,__all____table,diffuscene,56
__all__,table,__all____table,infinigen,476
__all__,table,__all____table,m3dlayout,2
__all__,table,__all____table,ollama_llm,46
__all__,table,__all____table,random,28
__all__,table,__all____table,relaxed,274
__all__,table,__all____table,retrieval,504
__all__,tv,__all____tv,3dfront,3578
__all__,tv,__all____tv,cube,56
__all__,tv,__all____tv,infinigen,97
__all__,tv,__all____tv,ollama_llm,2
__all__,tv,__all____tv,relaxed,54
__all__,tv,__all____tv,retrieval,252
__all__,wardrobe,__all____wardrobe,3dfront,5309
__all__,wardrobe,__all____wardrobe,cube,1083
__all__,wardrobe,__all____wardrobe,diffuscene,863
__all__,wardrobe,__all____wardrobe,infinigen,4
__all__,wardrobe,__all____wardrobe,m3dlayout,2
__all__,wardrobe,__all____wardrobe,ollama_llm,239
__all__,wardrobe,__all____wardrobe,random,58
__all__,wardrobe,__all____wardrobe,relaxed,148
__all__,wardrobe,__all____wardrobe,retrieval,336
