analysis_room_type,analysis_class_name,group_key,3dfront,cube,diffuscene,infinigen,m3dlayout,ollama_llm,random,relaxed,retrieval
apartment,bed,apartment__bed,0,0,0,10,0,0,0,0,0
apartment,cabinet,apartment__cabinet,0,0,0,56,0,0,0,0,0
apartment,chair,apartment__chair,0,0,0,9,0,0,0,0,0
apartment,decor,apartment__decor,0,0,0,53,0,0,0,0,0
apartment,lamp,apartment__lamp,0,0,0,18,0,0,0,0,0
apartment,sofa,apartment__sofa,0,0,0,1,0,0,0,0,0
apartment,table,apartment__table,0,0,0,13,0,0,0,0,0
apartment,tv,apartment__tv,0,0,0,2,0,0,0,0,0
bathroom,cabinet,bathroom__cabinet,0,0,0,95,0,0,0,0,0
bathroom,decor,bathroom__decor,0,0,0,142,0,0,0,0,0
bathroom,lamp,bathroom__lamp,0,0,0,142,0,0,0,0,0
bathroom,table,bathroom__table,0,0,0,7,0,0,0,0,0
bedroom,bed,bedroom__bed,6300,5,0,434,0,96,0,61,168
bedroom,cabinet,bedroom__cabinet,1169,0,616,2014,0,62,0,12,252
bedroom,chair,bedroom__chair,1144,0,0,21,0,0,0,0,0
bedroom,decor,bedroom__decor,220,0,0,944,0,0,0,0,0
bedroom,double_bed,bedroom__double_bed,0,0,430,0,0,0,0,0,168
bedroom,lamp,bedroom__lamp,0,10,552,422,0,96,0,116,336
bedroom,nightstand,bedroom__nightstand,8806,10,1096,9,0,192,0,128,672
bedroom,sofa,bedroom__sofa,61,0,0,0,0,0,0,0,0
bedroom,table,bedroom__table,1241,0,0,213,0,8,0,0,0
bedroom,tv,bedroom__tv,1218,0,0,7,0,0,0,0,0
bedroom,wardrobe,bedroom__wardrobe,5191,10,860,0,0,96,0,122,336
hallway,cabinet,hallway__cabinet,0,0,0,201,0,0,0,0,0
hallway,decor,hallway__decor,0,0,0,98,0,0,0,0,0
hallway,lamp,hallway__lamp,0,0,0,89,0,0,0,0,0
hallway,table,hallway__table,0,0,0,8,0,0,0,0,0
kitchen,bed,kitchen__bed,0,0,0,1,0,0,0,0,0
kitchen,chair,kitchen__chair,0,152,0,62,0,0,0,0,0
kitchen,decor,kitchen__decor,0,112,0,18,0,0,0,0,0
kitchen,table,kitchen__table,0,75,0,25,0,0,0,0,0
livingroom,bed,livingroom__bed,990,0,0,1,0,0,0,0,0
livingroom,cabinet,livingroom__cabinet,2699,9,0,1396,0,2,0,7,189
livingroom,chair,livingroom__chair,12317,102,0,17,0,0,0,100,252
livingroom,decor,livingroom__decor,750,0,0,781,0,0,0,0,0
livingroom,lamp,livingroom__lamp,0,56,0,155,0,2,0,54,252
livingroom,nightstand,livingroom__nightstand,2605,0,0,9,0,0,0,0,0
livingroom,sofa,livingroom__sofa,3043,56,0,81,0,2,0,54,252
livingroom,table,livingroom__table,5707,56,0,173,0,2,0,54,252
livingroom,tv,livingroom__tv,2360,56,0,65,0,2,0,54,252
livingroom,wardrobe,livingroom__wardrobe,118,0,0,0,0,0,0,0,0
office,cabinet,office__cabinet,0,155,58,0,0,0,0,155,315
office,chair,office__chair,0,212,46,0,0,0,0,212,252
office,decor,office__decor,0,92,0,0,0,0,0,92,189
office,lamp,office__lamp,0,212,56,0,0,0,0,212,252
office,table,office__table,0,212,56,0,0,0,0,212,252
unknown_room,bed,unknown_room__bed,0,1080,0,4,18,139,60,30,0
unknown_room,cabinet,unknown_room__cabinet,0,987,0,188,0,12,22,0,0
unknown_room,chair,unknown_room__chair,0,14,0,0,0,17,9,21,0
unknown_room,decor,unknown_room__decor,0,0,0,226,6,49,0,0,0
unknown_room,double_bed,unknown_room__double_bed,0,0,2,0,0,0,0,0,0
unknown_room,lamp,unknown_room__lamp,0,1012,3,55,6,32,32,15,0
unknown_room,nightstand,unknown_room__nightstand,0,1997,4,0,12,248,53,6,0
unknown_room,sofa,unknown_room__sofa,0,0,0,12,0,0,0,0,0
unknown_room,table,unknown_room__table,0,1012,0,37,2,36,28,8,0
unknown_room,tv,unknown_room__tv,0,0,0,23,0,0,0,0,0
unknown_room,wardrobe,unknown_room__wardrobe,0,1073,3,4,2,143,58,26,0
