method,class_name,grouping,grid,sigma,augmentation,figure_path
infinigen,bed,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_bed_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
infinigen,cabinet,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_cabinet_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
infinigen,chair,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_chair_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
infinigen,table,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_table_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
infinigen,sofa,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_sofa_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
infinigen,tv,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_tv_infinigen_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
diffuscene,nightstand,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_nightstand_diffuscene_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
diffuscene,wardrobe,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_wardrobe_diffuscene_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
diffuscene,cabinet,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_cabinet_diffuscene_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
diffuscene,chair,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_chair_diffuscene_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
diffuscene,table,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_table_diffuscene_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
random,bed,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_bed_random_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
random,nightstand,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_nightstand_random_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
random,wardrobe,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_wardrobe_random_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,bed,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_bed_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,nightstand,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_nightstand_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,wardrobe,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_wardrobe_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,cabinet,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_cabinet_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,chair,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_chair_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,table,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_table_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,sofa,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_sofa_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
retrieval,tv,class,32,1.25,rot90_flip,report_assets/key_figures/class_all_tv_retrieval_minus_3dfront_grid_32_sigma_1.25_aug_rot90_flip.png
