grouping,grid,sigma,augmentation,method,n_groups,coverage_ref_weight,weighted_tv_distance,weighted_js_distance,weighted_sliced_wasserstein,weighted_centroid_shift,weighted_max_abs_diff_pp,total_ref_objects_in_compared_groups,total_method_objects_in_compared_groups
class,20,1.25,rot90_flip,infinigen,7,0.7011029871824667,0.3231348432446121,0.33198724857489537,0.04865896427713795,1.9974396070793268e-05,0.6595908162619382,39219,7438
class,20,1.25,rot90_flip,retrieval,9,1.0,0.33874115664410565,0.3760028485114639,0.0450520415410145,1.1825078988861544e-05,0.7623673216599937,55939,3633
class,20,1.25,rot90_flip,cube,9,1.0,0.3525809240555029,0.3619643053905957,0.058433335976871864,3.476796869165022e-05,0.6862493113197583,55939,7477
class,20,1.25,rot90_flip,ollama_llm,6,0.6399113319866283,0.4433271505788535,0.44730176740920324,0.07210856720881642,0.004143621971183463,0.7542682631399619,35796,1085
class,20,1.25,rot90_flip,random,3,0.42921754053522587,0.5080685271517985,0.5198292939418876,0.08391008369538656,1.9892032122188368e-05,0.8661165425457038,24010,171
class,20,1.25,rot90_flip,relaxed,9,1.0,0.5590820749157109,0.5631807515536397,0.08197553335057478,0.0014776396015110781,1.3725330279368895,55939,1354
class,20,1.25,rot90_flip,diffuscene,5,0.7328876097177283,0.583336197613729,0.6005983043805088,0.07729964160922896,1.5125517730375266e-05,1.8430400313719886,40997,2739
class,32,1.25,rot90_flip,infinigen,7,0.7011029871824667,0.39435522320769983,0.4090935956997439,0.05140084166212762,1.3041688677617782e-05,0.41644633961492766,39219,7438
class,32,1.25,rot90_flip,cube,9,1.0,0.41004602731833384,0.4215334889507341,0.061273783264231954,1.3603809659233769e-05,0.45899702679337767,55939,7477
class,32,1.25,rot90_flip,retrieval,9,1.0,0.4657127876412405,0.5011492787403937,0.04900125545573777,8.260617853472322e-06,0.7077997442249725,55939,3633
class,32,1.25,rot90_flip,ollama_llm,6,0.6399113319866283,0.5482618745918842,0.5547860632362457,0.07579184048671066,0.0024423093184690312,0.6245350016982762,35796,1085
class,32,1.25,rot90_flip,random,3,0.42921754053522587,0.5882395222863566,0.5982971809500001,0.08618925923921511,1.3389174055735672e-05,0.5434259876125755,24010,171
class,32,1.25,rot90_flip,relaxed,9,1.0,0.6549397668755242,0.6621116057780801,0.08775306638027675,0.001057541439918556,1.0834431955083406,55939,1354
class,32,1.25,rot90_flip,diffuscene,5,0.7328876097177283,0.7351152127179877,0.7451095035342493,0.08747655119812567,9.646960897129901e-06,1.464616027962629,40997,2739
room_class,20,1.25,rot90_flip,cube,4,0.4703933497982049,0.21054624593944404,0.22648502055603362,0.0316934128793331,4.024559147066465e-06,0.3896167159365233,23427,270
room_class,20,1.25,rot90_flip,retrieval,9,0.9556050840310825,0.36819238972369095,0.39237654625437457,0.046406470052776164,1.3495953417697746e-05,0.9218336083590947,47592,2625
room_class,20,1.25,rot90_flip,infinigen,9,0.47163825472361104,0.39914418033969673,0.41180440814353403,0.051010315735573374,7.400427831727259e-06,0.7979073890856857,23489,6101
room_class,20,1.25,rot90_flip,ollama_llm,4,0.431018211754312,0.49013050785965834,0.5091061169789162,0.06076515112598165,0.010611150222350641,1.6409824639984156,21466,446
room_class,20,1.25,rot90_flip,relaxed,7,0.8779390799751019,0.573452423046631,0.587097148299038,0.08381938890293764,0.002762507927806133,1.3730433730833969,43724,573
room_class,20,1.25,rot90_flip,diffuscene,3,0.30451980804369216,0.695803913709906,0.7064700667379578,0.1136693830272486,3.613451588551691e-05,2.5237614133450426,15166,2572
room_class,32,1.25,rot90_flip,cube,4,0.4703933497982049,0.2596396463751271,0.2800342189410333,0.03315671397256497,1.8848378420319736e-06,0.2898106919645147,23427,270
room_class,32,1.25,rot90_flip,infinigen,9,0.47163825472361104,0.489175109321719,0.5063923120727304,0.054347457043199224,5.263921123021304e-06,0.5687723503758727,23489,6101
room_class,32,1.25,rot90_flip,retrieval,9,0.9556050840310825,0.4956269680482726,0.5210155540667188,0.04995016949519903,8.717938800576362e-06,0.8203894000123527,47592,2625
room_class,32,1.25,rot90_flip,ollama_llm,4,0.431018211754312,0.6295246104257357,0.6480315919319372,0.06812496798352786,0.006393393078117835,1.4877785497429687,21466,446
room_class,32,1.25,rot90_flip,relaxed,7,0.8779390799751019,0.6906310542334235,0.6989830147171123,0.08969100926888432,0.0017907849225166932,1.1353010481283279,43724,573
room_class,32,1.25,rot90_flip,diffuscene,3,0.30451980804369216,0.8398871559250837,0.8433526522904895,0.1263253102257356,2.358787020748357e-05,1.7341985249724556,15166,2572
